Site,logger,Longitude,Latitude
EN101,21035974,-96.49569,37.56623
EN202,21035973,-96.49525,37.5649
EN203,21038946,-96.4975,37.564219
EN204,21035971,-96.49889,37.56314
EN205,20946457,-96.50047,37.5632
EN206,20946462,-96.50186,37.5642
EN302,20946474,-96.49378,37.56303
EN303,21035977,-96.49513,37.56225
EN304,21038947,-96.49736,37.56152
EN305,21038939,-96.50045,37.55947
EN401,20946456,-96.49331,37.56488
ENM301,21035972,-96.49106,37.56442
ENM302,21038952,-96.49228,37.56436
ENM303,21035975,-96.49416,37.56482
ENM305,20946471,-96.49747,37.56547
ENM307,20821662,-96.49889,37.56578
ENM309,21038941,-96.50249,37.56556
ENM311,21038948,-96.50307,37.56562
ENM312,21038945,-96.50404,37.5657
